,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
566,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Family/Society,Parental Expectations,Online Resources,No,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
567,,Professional,21-25 Yrs.,Female,100000,7,Teachers,Personal Interest,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
568,,Under Graduate,Less than 20 Yrs. ,Male,1000000,6,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
569,,Working Professionals,More than 25 Yrs.,Female,1000000,5,Your own decision,Personal Interest,Academic Advisors,Yes,Recent Trends,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
570,,Under Graduate,Less than 20 Yrs. ,Female,500000,7,Family/Society,Personal Interest,Academic Advisors,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
571,,Professional,More than 25 Yrs.,Female,300000,5,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
572,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
573,,Post Graduate,21-25 Yrs.,Male,500000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
574,,Senior Secondary,Less than 20 Yrs. ,Male,100000,4,Subject Matter Expert (SME),Academic Performance,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
575,,Post Graduate,More than 25 Yrs.,Female,500000,4,Subject Matter Expert (SME),Personal Interest,Academic Advisors,No,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
576,,Senior Secondary,Less than 20 Yrs. ,Male,300000,5,Family/Society,Personal Interest,Academic Advisors,No,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
577,,Working Professionals,More than 25 Yrs.,Male,500000,4,Family/Society,Parental Expectations,Academic Advisors,No,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
578,,Professional,21-25 Yrs.,Female,1000000,3,Subject Matter Expert (SME),Career Prospects,Family Members,Yes,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
579,,Post Graduate,21-25 Yrs.,Female,200000,4,Teachers,Academic Performance,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
580,,Post Graduate,21-25 Yrs.,Female,200000,5,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,Yes,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
581,,Senior Secondary,Less than 20 Yrs. ,Male,500000,6,Subject Matter Expert (SME),Career Prospects,Academic Advisors,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
582,,Senior Secondary,Less than 20 Yrs. ,Female,100000,3,Your own decision,Career Prospects,Family Members,No,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
583,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Parental Expectations,Academic Advisors,No,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
584,,Working Professionals,More than 25 Yrs.,Male,200000,6,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
585,,Professional,21-25 Yrs.,Female,200000,6,Teachers,Parental Expectations,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
586,,Post Graduate,More than 25 Yrs.,Female,300000,3,Your own decision,Personal Interest,Academic Advisors,No,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
587,,Professional,More than 25 Yrs.,Female,300000,5,Subject Matter Expert (SME),Career Prospects,Friends and Peers,Yes,Hobbies/interest areas,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
588,,Professional,21-25 Yrs.,Female,1000000,6,Teachers,Parental Expectations,Online Resources,Not Sure,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
589,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Family/Society,Career Prospects,Previous Students' Experiences,No,Recent Trends,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
590,,Professional,More than 25 Yrs.,Female,500000,5,Your own decision,Academic Performance,Family Members,Not Sure,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
591,,Post Graduate,Less than 20 Yrs. ,Male,200000,6,Teachers,Career Prospects,Previous Students' Experiences,No,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
592,,Professional,21-25 Yrs.,Male,500000,3,Your own decision,Career Prospects,Friends and Peers,No,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
593,,Professional,More than 25 Yrs.,Female,100000,6,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,Not Sure,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
594,,Professional,21-25 Yrs.,Female,200000,6,Your own decision,Personal Interest,Friends and Peers,Not Sure,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
595,,Post Graduate,More than 25 Yrs.,Female,500000,3,Subject Matter Expert (SME),Career Prospects,Family Members,Yes,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
596,,Post Graduate,21-25 Yrs.,Male,1000000,6,Family/Society,Personal Interest,Family Members,No,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
597,,Working Professionals,More than 25 Yrs.,Female,500000,4,Subject Matter Expert (SME),Career Prospects,Academic Advisors,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
598,,Professional,21-25 Yrs.,Male,1000000,6,Subject Matter Expert (SME),Career Prospects,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
599,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Family/Society,Personal Interest,Previous Students' Experiences,No,Recent Trends,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
600,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,4,Teachers,Parental Expectations,Online Resources,Yes,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
601,,Working Professionals,More than 25 Yrs.,Male,500000,3,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
602,,Senior Secondary,Less than 20 Yrs. ,Male,1000000,5,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Not Sure,Career Preferences,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
603,,Post Graduate,Less than 20 Yrs. ,Female,200000,3,Teachers,Personal Interest,Academic Advisors,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
604,,Professional,21-25 Yrs.,Female,100000,5,Teachers,Parental Expectations,Friends and Peers,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
605,,Working Professionals,More than 25 Yrs.,Male,500000,3,Teachers,Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
606,,Professional,21-25 Yrs.,Female,300000,6,Teachers,Personal Interest,Family Members,Not Sure,Career Preferences,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
607,,Post Graduate,More than 25 Yrs.,Female,500000,5,Subject Matter Expert (SME),Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
608,,Post Graduate,More than 25 Yrs.,Male,100000,6,Teachers,Parental Expectations,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
609,,Professional,21-25 Yrs.,Male,300000,6,Family/Society,Career Prospects,Online Resources,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
610,,Post Graduate,Less than 20 Yrs. ,Female,1000000,4,Family/Society,Career Prospects,Academic Advisors,Yes,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
611,,Professional,More than 25 Yrs.,Female,1000000,4,Family/Society,Parental Expectations,Previous Students' Experiences,Not Sure,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
612,,Post Graduate,Less than 20 Yrs. ,Female,500000,6,Family/Society,Academic Performance,Family Members,No,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
613,,Post Graduate,Less than 20 Yrs. ,Male,300000,6,Your own decision,Personal Interest,Online Resources,Yes,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
614,,Professional,21-25 Yrs.,Female,300000,4,Your own decision,Personal Interest,Family Members,Yes,Family Professional Goals,Happy,Happy,Neutral,Neutral_swing,Positive_zone
615,,Post Graduate,21-25 Yrs.,Female,300000,4,Family/Society,Personal Interest,Previous Students' Experiences,No,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
616,,Professional,21-25 Yrs.,Female,100000,6,Family/Society,Academic Performance,Online Resources,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
617,,Senior Secondary,Less than 20 Yrs. ,Male,500000,3,Family/Society,Parental Expectations,Academic Advisors,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
618,,Post Graduate,21-25 Yrs.,Male,100000,4,Family/Society,Career Prospects,Family Members,No,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
619,,Professional,More than 25 Yrs.,Male,100000,5,Teachers,Personal Interest,Family Members,Yes,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
620,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Subject Matter Expert (SME),Parental Expectations,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
621,,Professional,21-25 Yrs.,Male,1000000,6,Your own decision,Career Prospects,Family Members,No,Family Professional Goals,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
622,,Professional,21-25 Yrs.,Male,200000,4,Teachers,Personal Interest,Family Members,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
623,,Post Graduate,21-25 Yrs.,Female,100000,4,Family/Society,Career Prospects,Online Resources,No,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
624,,Professional,21-25 Yrs.,Female,500000,3,Family/Society,Academic Performance,Friends and Peers,Yes,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
625,,Working Professionals,More than 25 Yrs.,Male,500000,3,Teachers,Career Prospects,Online Resources,No,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
626,,Post Graduate,21-25 Yrs.,Female,100000,5,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
627,,Working Professionals,More than 25 Yrs.,Male,500000,6,Family/Society,Parental Expectations,Previous Students' Experiences,No,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
628,,Senior Secondary,Less than 20 Yrs. ,Male,100000,6,Family/Society,Personal Interest,Friends and Peers,No,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
629,,Professional,More than 25 Yrs.,Male,300000,3,Your own decision,Career Prospects,Family Members,Yes,Family Professional Goals,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
630,,Professional,More than 25 Yrs.,Female,300000,6,Your own decision,Parental Expectations,Academic Advisors,Yes,Family Professional Goals,Happy,Happy,Neutral,Neutral_swing,Positive_zone
631,,Professional,More than 25 Yrs.,Female,500000,4,Teachers,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
632,,Professional,More than 25 Yrs.,Male,500000,5,Teachers,Academic Performance,Family Members,Yes,Career Preferences,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
633,,Post Graduate,Less than 20 Yrs. ,Female,200000,3,Family/Society,Parental Expectations,Family Members,Not Sure,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
634,,Post Graduate,21-25 Yrs.,Male,500000,3,Your own decision,Parental Expectations,Previous Students' Experiences,Not Sure,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
635,,Post Graduate,21-25 Yrs.,Female,200000,5,Teachers,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
636,,Post Graduate,21-25 Yrs.,Female,200000,3,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
637,,Senior Secondary,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Academic Advisors,Not Sure,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
638,,Working Professionals,More than 25 Yrs.,Female,1000000,5,Your own decision,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
639,,Working Professionals,More than 25 Yrs.,Male,500000,3,Subject Matter Expert (SME),Parental Expectations,Academic Advisors,No,Recent Trends,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
640,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,5,Teachers,Academic Performance,Academic Advisors,No,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
641,,Post Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Academic Performance,Friends and Peers,Not Sure,Family Professional Goals,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
642,,Working Professionals,More than 25 Yrs.,Male,100000,3,Your own decision,Parental Expectations,Previous Students' Experiences,Yes,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
643,,Post Graduate,21-25 Yrs.,Female,300000,6,Teachers,Career Prospects,Online Resources,Not Sure,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
644,,Working Professionals,More than 25 Yrs.,Male,100000,4,Teachers,Career Prospects,Academic Advisors,Not Sure,Family Professional Goals,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
645,,Professional,More than 25 Yrs.,Female,100000,5,Family/Society,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
646,,Professional,21-25 Yrs.,Male,200000,3,Teachers,Personal Interest,Previous Students' Experiences,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
647,,Senior Secondary,Less than 20 Yrs. ,Male,300000,4,Family/Society,Academic Performance,Friends and Peers,No,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
648,,Working Professionals,More than 25 Yrs.,Male,500000,4,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
649,,Post Graduate,21-25 Yrs.,Female,300000,5,Your own decision,Career Prospects,Friends and Peers,No,Family Professional Goals,Happy,Happy,Neutral,Neutral_swing,Positive_zone
650,,Senior Secondary,Less than 20 Yrs. ,Female,200000,3,Your own decision,Career Prospects,Friends and Peers,Not Sure,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
651,,Post Graduate,Less than 20 Yrs. ,Female,300000,3,Your own decision,Academic Performance,Previous Students' Experiences,No,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
652,,Post Graduate,21-25 Yrs.,Female,300000,5,Your own decision,Parental Expectations,Previous Students' Experiences,No,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
653,,Professional,21-25 Yrs.,Male,300000,3,Teachers,Academic Performance,Previous Students' Experiences,Yes,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
654,,Working Professionals,More than 25 Yrs.,Male,500000,5,Family/Society,Parental Expectations,Academic Advisors,Yes,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
655,,Post Graduate,More than 25 Yrs.,Female,200000,6,Teachers,Parental Expectations,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
656,,Post Graduate,Less than 20 Yrs. ,Male,200000,3,Subject Matter Expert (SME),Personal Interest,Online Resources,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
657,,Post Graduate,21-25 Yrs.,Female,100000,4,Subject Matter Expert (SME),Academic Performance,Previous Students' Experiences,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
658,,Working Professionals,More than 25 Yrs.,Male,300000,6,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
659,,Working Professionals,More than 25 Yrs.,Female,100000,5,Your own decision,Personal Interest,Friends and Peers,Not Sure,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
660,,Post Graduate,Less than 20 Yrs. ,Male,1000000,3,Teachers,Personal Interest,Family Members,No,Financial Stability,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
661,,Working Professionals,More than 25 Yrs.,Male,500000,4,Family/Society,Personal Interest,Academic Advisors,Not Sure,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
662,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Your own decision,Career Prospects,Previous Students' Experiences,Not Sure,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
663,,Professional,21-25 Yrs.,Female,200000,3,Family/Society,Career Prospects,Family Members,Not Sure,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
664,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Your own decision,Academic Performance,Academic Advisors,No,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
665,,Working Professionals,More than 25 Yrs.,Female,300000,4,Your own decision,Academic Performance,Friends and Peers,Yes,Family Professional Goals,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
666,,Post Graduate,21-25 Yrs.,Male,100000,6,Family/Society,Parental Expectations,Academic Advisors,Yes,Career Preferences,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
667,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,6,Family/Society,Personal Interest,Family Members,No,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
668,,Post Graduate,21-25 Yrs.,Female,100000,5,Teachers,Parental Expectations,Previous Students' Experiences,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
669,,Working Professionals,More than 25 Yrs.,Female,100000,6,Family/Society,Parental Expectations,Academic Advisors,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
670,,Post Graduate,More than 25 Yrs.,Female,1000000,6,Your own decision,Academic Performance,Academic Advisors,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
671,,Working Professionals,More than 25 Yrs.,Female,500000,6,Teachers,Parental Expectations,Academic Advisors,No,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
672,,Senior Secondary,Less than 20 Yrs. ,Male,100000,5,Family/Society,Academic Performance,Academic Advisors,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
673,,Working Professionals,More than 25 Yrs.,Male,100000,3,Teachers,Career Prospects,Friends and Peers,Not Sure,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
674,,Senior Secondary,Less than 20 Yrs. ,Female,100000,4,Subject Matter Expert (SME),Career Prospects,Friends and Peers,Not Sure,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
675,,Post Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Parental Expectations,Academic Advisors,Not Sure,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
676,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Teachers,Personal Interest,Academic Advisors,Yes,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
677,,Professional,More than 25 Yrs.,Male,1000000,3,Family/Society,Parental Expectations,Friends and Peers,Not Sure,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
678,,Post Graduate,More than 25 Yrs.,Female,200000,4,Teachers,Personal Interest,Academic Advisors,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
679,,Professional,21-25 Yrs.,Female,300000,5,Teachers,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
680,,Post Graduate,21-25 Yrs.,Female,200000,6,Subject Matter Expert (SME),Career Prospects,Academic Advisors,No,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
681,,Senior Secondary,Less than 20 Yrs. ,Female,100000,3,Your own decision,Academic Performance,Academic Advisors,Not Sure,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
682,,Working Professionals,More than 25 Yrs.,Female,300000,6,Your own decision,Career Prospects,Previous Students' Experiences,No,Family Professional Goals,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
683,,Working Professionals,More than 25 Yrs.,Male,200000,5,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
684,,Senior Secondary,Less than 20 Yrs. ,Male,500000,3,Family/Society,Academic Performance,Family Members,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
685,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Teachers,Academic Performance,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
686,,Senior Secondary,Less than 20 Yrs. ,Male,500000,6,Family/Society,Career Prospects,Online Resources,No,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
687,,Professional,21-25 Yrs.,Female,200000,6,Teachers,Career Prospects,Family Members,Not Sure,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
688,,Senior Secondary,Less than 20 Yrs. ,Female,300000,3,Family/Society,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
689,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,5,Teachers,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
690,,Working Professionals,More than 25 Yrs.,Female,200000,6,Subject Matter Expert (SME),Parental Expectations,Family Members,Not Sure,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
691,,Professional,21-25 Yrs.,Male,1000000,3,Teachers,Personal Interest,Academic Advisors,Not Sure,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
692,,Working Professionals,More than 25 Yrs.,Female,200000,3,Family/Society,Academic Performance,Online Resources,No,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
693,,Post Graduate,21-25 Yrs.,Male,300000,5,Subject Matter Expert (SME),Academic Performance,Online Resources,No,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
694,,Professional,21-25 Yrs.,Male,1000000,5,Your own decision,Academic Performance,Previous Students' Experiences,Not Sure,Family Professional Goals,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
695,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Teachers,Career Prospects,Previous Students' Experiences,Not Sure,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
696,,Senior Secondary,Less than 20 Yrs. ,Female,200000,5,Family/Society,Parental Expectations,Academic Advisors,No,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
697,,Senior Secondary,Less than 20 Yrs. ,Female,200000,3,Family/Society,Academic Performance,Family Members,Not Sure,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
698,,Working Professionals,More than 25 Yrs.,Male,500000,6,Your own decision,Parental Expectations,Friends and Peers,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
699,,Senior Secondary,Less than 20 Yrs. ,Male,300000,6,Teachers,Career Prospects,Previous Students' Experiences,Not Sure,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
700,,Working Professionals,More than 25 Yrs.,Female,500000,4,Family/Society,Academic Performance,Online Resources,Yes,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
701,,Post Graduate,21-25 Yrs.,Male,300000,3,Family/Society,Career Prospects,Friends and Peers,Not Sure,Recent Trends,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
702,,Post Graduate,More than 25 Yrs.,Male,100000,5,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
703,,Working Professionals,More than 25 Yrs.,Male,300000,3,Subject Matter Expert (SME),Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
704,,Working Professionals,More than 25 Yrs.,Female,200000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Recent Trends,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
705,,Post Graduate,Less than 20 Yrs. ,Female,100000,4,Teachers,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
706,,Post Graduate,Less than 20 Yrs. ,Male,500000,3,Teachers,Parental Expectations,Friends and Peers,Yes,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
707,,Post Graduate,Less than 20 Yrs. ,Male,200000,6,Teachers,Academic Performance,Family Members,Not Sure,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
708,,Post Graduate,More than 25 Yrs.,Female,200000,4,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
709,,Working Professionals,More than 25 Yrs.,Female,1000000,4,Family/Society,Parental Expectations,Online Resources,Yes,Financial Stability,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
